t,Bandit,Reward,Regret,TrueMean,Algorithm
1,0,1.5437431604812986,3,1,EpsilonGreedy
2,0,0.38457023040166405,3,1,EpsilonGreedy
3,0,0.905378998102028,3,1,EpsilonGreedy
4,0,0.07117189996606732,3,1,EpsilonGreedy
5,0,0.5173812035519954,3,1,EpsilonGreedy
6,0,1.1641648198407362,3,1,EpsilonGreedy
7,0,2.4623781203460173,3,1,EpsilonGreedy
8,0,2.538714967614598,3,1,EpsilonGreedy
9,0,-0.012831120334423796,3,1,EpsilonGreedy
10,0,1.314247332595274,3,1,EpsilonGreedy
11,0,2.465648768921554,3,1,EpsilonGreedy
12,0,0.7742236995134644,3,1,EpsilonGreedy
13,0,0.45561727547481734,3,1,EpsilonGreedy
14,0,1.110922589709866,3,1,EpsilonGreedy
15,0,0.399361310081195,3,1,EpsilonGreedy
16,0,0.7083062502067232,3,1,EpsilonGreedy
17,0,0.9865027752620661,3,1,EpsilonGreedy
18,0,-0.057710928955900354,3,1,EpsilonGreedy
19,0,1.8225449121031891,3,1,EpsilonGreedy
20,0,-0.22084364997102224,3,1,EpsilonGreedy
21,0,-0.3281860488984305,3,1,EpsilonGreedy
22,0,1.1968612358691235,3,1,EpsilonGreedy
23,0,1.7384665799954104,3,1,EpsilonGreedy
24,0,1.1713682811899706,3,1,EpsilonGreedy
25,0,0.8843517176117595,3,1,EpsilonGreedy
26,0,0.6988963044107113,3,1,EpsilonGreedy
27,0,0.5393612290402126,3,1,EpsilonGreedy
28,0,2.0571222262189157,3,1,EpsilonGreedy
29,0,1.324083969394795,3,1,EpsilonGreedy
30,0,0.6149177195836835,3,1,EpsilonGreedy
31,0,0.3230779996940413,3,1,EpsilonGreedy
32,2,3.6116762888408678,1,3,EpsilonGreedy
33,2,3.930584400771102,1,3,EpsilonGreedy
34,2,3.6777674096733417,1,3,EpsilonGreedy
35,2,3.6622845136190625,1,3,EpsilonGreedy
36,2,3.2411221625871294,1,3,EpsilonGreedy
37,2,2.7542523125729597,1,3,EpsilonGreedy
38,2,2.230332226333892,1,3,EpsilonGreedy
39,2,1.4258447130559453,1,3,EpsilonGreedy
40,2,3.6379529432248896,1,3,EpsilonGreedy
41,2,2.06623715908795,1,3,EpsilonGreedy
42,2,3.784208187653938,1,3,EpsilonGreedy
43,2,2.385124240582689,1,3,EpsilonGreedy
44,2,3.3328924404889295,1,3,EpsilonGreedy
45,2,2.940182736338331,1,3,EpsilonGreedy
46,2,3.961173766418355,1,3,EpsilonGreedy
47,2,3.297650448508347,1,3,EpsilonGreedy
48,2,1.9718842294124619,1,3,EpsilonGreedy
49,2,3.1357538294764864,1,3,EpsilonGreedy
50,2,3.6080896620009613,1,3,EpsilonGreedy
51,2,1.533032114820474,1,3,EpsilonGreedy
52,2,3.892629471506162,1,3,EpsilonGreedy
53,2,2.5852353655945337,1,3,EpsilonGreedy
54,2,1.6012591183941423,1,3,EpsilonGreedy
55,2,2.672374816721997,1,3,EpsilonGreedy
56,2,2.138401945751671,1,3,EpsilonGreedy
57,2,1.650610026766991,1,3,EpsilonGreedy
58,2,1.98092721463193,1,3,EpsilonGreedy
59,2,4.945115614486786,1,3,EpsilonGreedy
60,2,2.8466635424838596,1,3,EpsilonGreedy
61,2,2.516877321248707,1,3,EpsilonGreedy
62,2,2.4301716516015963,1,3,EpsilonGreedy
63,2,2.984516659988221,1,3,EpsilonGreedy
64,2,2.972623554414841,1,3,EpsilonGreedy
65,2,2.241672879481758,1,3,EpsilonGreedy
66,2,3.4574156487191425,1,3,EpsilonGreedy
67,2,2.935621949199033,1,3,EpsilonGreedy
68,2,3.3449023350447287,1,3,EpsilonGreedy
69,2,4.43351548728992,1,3,EpsilonGreedy
70,2,4.065793708549304,1,3,EpsilonGreedy
71,2,5.158728523363104,1,3,EpsilonGreedy
72,2,4.23177837671611,1,3,EpsilonGreedy
73,2,3.7278331141658674,1,3,EpsilonGreedy
74,2,2.3809306396450403,1,3,EpsilonGreedy
75,2,4.21805043775651,1,3,EpsilonGreedy
76,2,2.610541975696518,1,3,EpsilonGreedy
77,2,4.933839800928118,1,3,EpsilonGreedy
78,2,3.080970805944567,1,3,EpsilonGreedy
79,2,3.7181282798247106,1,3,EpsilonGreedy
80,2,2.04852824935196,1,3,EpsilonGreedy
81,2,3.4280128409894273,1,3,EpsilonGreedy
