t,Bandit,Reward,Regret,TrueMean,Algorithm
1,3,5.615579369008564,0,4,ThompsonSampling
2,3,5.596097702984304,0,4,ThompsonSampling
3,3,5.024983722038633,0,4,ThompsonSampling
4,3,4.430079385818976,0,4,ThompsonSampling
5,3,2.7160374677331593,0,4,ThompsonSampling
6,3,3.718489991435132,0,4,ThompsonSampling
7,3,3.9539384787308705,0,4,ThompsonSampling
8,3,4.062263929120753,0,4,ThompsonSampling
9,3,5.660733158908583,0,4,ThompsonSampling
10,3,6.08319681115001,0,4,ThompsonSampling
11,0,1.1032239323862945,3,1,ThompsonSampling
12,3,3.7746088489113827,0,4,ThompsonSampling
13,2,2.507652419039359,1,3,ThompsonSampling
14,3,3.136735518679031,0,4,ThompsonSampling
15,3,2.8949629419150686,0,4,ThompsonSampling
16,3,3.8792562404458835,0,4,ThompsonSampling
17,3,3.0093978590840225,0,4,ThompsonSampling
18,3,4.330134812935033,0,4,ThompsonSampling
19,3,3.336730346785928,0,4,ThompsonSampling
20,3,2.490309049557487,0,4,ThompsonSampling
21,3,5.173966471777425,0,4,ThompsonSampling
22,3,3.114480982754799,0,4,ThompsonSampling
23,3,3.3052775691160816,0,4,ThompsonSampling
24,3,2.325181795029158,0,4,ThompsonSampling
25,3,4.437650632587819,0,4,ThompsonSampling
26,2,2.564695013384932,1,3,ThompsonSampling
27,3,3.5982355701580535,0,4,ThompsonSampling
28,3,3.4497118686498958,0,4,ThompsonSampling
29,3,6.085676148714539,0,4,ThompsonSampling
30,1,3.295086633543734,2,2,ThompsonSampling
31,3,4.065191868175471,0,4,ThompsonSampling
32,2,3.694301651393457,1,3,ThompsonSampling
33,3,3.4945994000747698,0,4,ThompsonSampling
34,3,4.336251270977951,0,4,ThompsonSampling
35,3,3.9805322083832757,0,4,ThompsonSampling
36,3,3.4989617796510775,0,4,ThompsonSampling
37,3,3.747688653233013,0,4,ThompsonSampling
38,3,3.994737786299581,0,4,ThompsonSampling
39,3,3.618375155683001,0,4,ThompsonSampling
